TotalRaised
1.56
17.5
0.5
0.64
276.99
0.17
1.0
0.5
2.35
6.08
18.84
1.74
3.4
32.0
30.15
4.77
27.14
1.86
10.78
4.32
49.79
2.15
1.07
2.78
13.5
2.82
3.2
17.64
0.16
12.4
