Variable,LLM MAE,Stat N5 MAE,Stat N10 MAE,Stat N20 MAE,Stat N30 MAE
BloodCadmiumUgl,0.06978573530467272,0.1407334892008207,0.14468678718836261,0.1202452167072195,0.14392138233293694
BloodLeadUgdl,0.11581872675145069,0.24181652411938404,0.16513026587462348,0.20299550365268196,0.15709099548109962
BloodManganeseUgl,0.4313168765208097,1.2846317100807587,0.8741107411180454,0.7135051664004186,0.43594161783973606
BloodMercuryTotalUgl,0.4608437064732948,0.45470909116819963,0.5189716656455121,0.2511372358713099,0.2876934703138845
CoveredByHealthInsurance,0.07536098688492653,0.08593334123560899,0.07166594422714855,0.04980402222422974,0.04587307338946269
DoctorToldYouHaveDiabetes,0.031884605385407,0.10308139784518604,0.06377993604386145,0.05317087803059776,0.03838969578706588
EverToldYouHadCancerOrMalignancy,0.0425779532043771,0.11633479877544632,0.06595543534650773,0.054185915508835114,0.045271761099780844
EverToldYouHadHeartAttack,0.00503670045338154,0.10947570306674446,0.0637980831899451,0.04147385906177781,0.031163757670591583
HaveSeriousDifficultyConcentrating,0.061396184598406026,0.0711046934603428,0.0535385433851711,0.03483122917130774,0.026930430476944517
TakeMedicationForDepression,0.01838033617154022,0.06809942291255382,0.07771947284228423,0.056024377314938284,0.04392237646308882
TakingInsulinNow,0.00695654249354466,0.13280715240727095,0.06404993824329965,0.03748079311512523,0.013041028693144219
TotalCholesterolMgdl,5.877864673687412,15.998189318199785,10.451059486039831,6.689259953530748,6.968538219948145
WaistCircumferenceCm,5.586849036774635,5.413350291361824,2.8079067553810724,2.5886067453179424,2.3746126690435965
WeightKg,2.4178628441431953,6.6160746256437175,4.967583807948617,3.546078188795749,2.96938882446988
easy_0,1.6166697510106816,5.893009189351643,5.330090280859558,3.4922091120968997,2.5967145660379076
easy_1,0.0348794171005134,0.10891078746998978,0.0765705600733107,0.05589087607856893,0.051487311910818595
easy_10,0.8278261026139315,0.7343642698935434,0.5253131222029056,0.33720156237655047,0.1493488633015369
easy_11,0.32451652163759925,0.09731479272336045,0.0877197070429347,0.08251627953428545,0.06716209947346305
easy_12,0.20864016095201854,0.38927803386089105,0.3098005497456367,0.18783954638133232,0.13105081430982987
easy_13,0.19972853794497636,0.38610449179798906,0.31453961662461816,0.2604366760293812,0.30723142829015265
easy_14,0.034896211040552835,0.09977990710826658,0.09010574496210497,0.04495443800401192,0.026781465398145233
easy_15,0.043024250243331695,0.15494159473755453,0.11753732153682833,0.07175243046644944,0.05751188171050016
easy_16,4.3924561680472065,5.270860361987827,5.919773849084164,4.9942329784069965,2.9871464966069867
easy_17,0.01731428582395244,0.1785318428631925,0.08434436417429515,0.07788540129056849,0.09702154952874466
easy_18,0.40578191047243983,0.4191879173869096,0.2285221947127757,0.31477308101734763,0.16018560012337807
easy_19,0.046856768332781164,0.25360798591107314,0.2537579089755065,0.25636874075377913,0.23272256578850167
easy_2,0.01812988436936966,0.10069700951649425,0.057884000676022875,0.02977650339361407,0.021311372368792214
easy_3,0.05751576504011228,0.11756428078127765,0.1178165546877135,0.05203304275507943,0.052980046210592026
easy_4,0.01309309205710712,0.11936499915446623,0.07280244004595039,0.03129698432017121,0.01993668235975391
easy_5,0.16531444499201964,0.144109825064984,0.09835238212727057,0.06692892576378795,0.03888152155399296
