TotalRaised
1.1
0.6
3.55
5.0
8.03
5.55
2.0
0.82
3.71
0.3
4.0
2.0
1.5
2.52
0.5
0.15
1.17
2.63
3.7
1.0
16.92
1.99
8.32
0.12
3.5
0.03
1.5
0.13
14.99
0.5
