TotalRaised
5.99
31.39
0.47
7.77
225.0
1.31
8.01
9.42
2.63
2.24
89.76
17.25
33.94
10.25
1.24
534.49
0.05
0.33
12.14
137.3
1.49
1.97
5.59
704.96
126.47
24.72
1237.1
2.42
0.3
63.82
2.65
110.61
2.3
3.45
3.3
2.1
12.81
3.26
0.24
198.99
2.86
0.51
2.5
24.0
1.0
134.36
0.52
0.38
1.62
33.88
2.89
42.4
0.15
2.39
0.22
67.21
0.45
7.17
67.28
75.41
6.09
0.23
7.22
14.2
8.94
2.84
4.18
0.52
7.72
2.41
104.31
18.19
11.67
43.99
2.98
26.87
3.27
2.11
50.97
10.0
3.1
10.5
0.1
7.62
7.3
77.8
30.75
3.39
0.05
10.17
0.42
89.54
6.57
1.45
20.88
31.79
3.64
1.21
0.76
1.45
7.07
3.98
7.43
23.37
2.83
2.33
50.54
0.68
6.91
5.72
7.5
0.05
2.43
0.08
54.09
123.01
0.12
0.45
17.02
5.55
39.18
3.5
10.0
30.06
3.49
0.06
372.79
5.72
14.59
0.4
11.98
148.07
0.8
28.35
0.5
5.0
127.5
3.87
15.72
2.13
0.54
172.18
240.0
4.35
1.3
2.47
28.0
11.36
14.15
15.63
370.0
0.13
7.25
3.77
340.67
7.61
1.38
2.75
12.62
68.66
0.1
0.83
51.32
3.45
0.76
0.2
43.11
2.05
151.06
142.42
1.3
51.21
16.6
57.0
0.54
5.0
30.98
4.81
0.27
58.5
1.0
0.62
4.02
4.02
3.0
49.65
248.21
210.07
17.57
104.5
2.92
7.4
51.3
7.7
0.3
0.34
10.74
1.75
20.0
7.91
9.03
14.73
3.72
414.99
6.63
54.17
1.12
21.08
4.54
3.4
305.64
0.37
54.0
7.11
3.21
2.56
1.73
5.85
13.93
5.99
217.34
1.36
5.26
24.47
0.05
1.62
23.94
10.05
0.11
1.47
8.89
1.94
12.92
75.24
0.03
105.56
3.42
25.41
3.0
70.19
5.5
102.84
10.31
96.62
2.06
40.29
0.15
0.96
4.69
3.95
6.2
51.87
1.0
0.52
42.5
2.8
11.09
4.5
970.0
2.05
0.02
4.29
2.6
8.77
24.55
156.83
305.28
534.67
0.7
10.2
10.89
6.23
9.23
6.2
2.29
56.3
2.09
33.0
2.98
0.1
0.84
35.64
0.14
0.78
125.0
0.32
5.18
0.13
2.93
80.2
16.02
6.56
16.77
0.11
1.36
28.3
2.59
5.5
4.07
52.8
2.2
1.31
4.8
3.99
27.2
27.3
0.45
3.31
15.9
14.96
20.9
119.4
3.05
89.99
22.23
0.02
15.58
0.38
22.15
7.0
2.36
1.0
1.5
86.27
40.65
57.29
2.43
0.1
2.85
14.87
30.43
3.0
11.02
0.82
1.03
124.37
19.39
0.63
0.15
3.78
58.36
2.77
43.17
0.06
0.67
11.04
44.84
89.42
1.99
0.97
28.0
0.8
3.19
96.56
2.4
2.6
1.2
24.29
7.31
9.15
421.19
177.0
24.24
251.02
5.18
6.16
11.31
18.04
38.96
14.98
6.21
0.02
58.86
75.22
60.4
4.72
24.17
10.04
5.23
33.17
3.61
7.8
10.32
11.82
0.44
55.89
5.28
3.86
8.85
10.1
76.0
11.5
3.53
1.53
1.94
54.48
5.37
0.4
0.52
2.1
0.1
7.8
4.98
0.01
12.01
4.81
2.0
0.28
19.92
3.32
23.23
3.76
47.1
43.78
2.41
8.49
294.13
2.67
3.22
3.0
103.0
0.6
5.96
682.0
0.27
1.02
0.34
5.29
4.37
0.12
6.0
1.31
21.87
814.68
29.18
259.16
3.37
0.71
9.25
66.75
216.0
0.03
1.85
2.95
240.49
5.44
15.0
6.83
172.89
35.0
1407.49
84.7
0.17
5.91
50.5
33.04
3.63
16.22
45.96
8.5
5.5
74.15
14.39
22.99
3.12
1.0
0.53
14.77
16.12
24.84
5.51
0.35
3.39
3.27
5.6
0.98
2.6
6.0
4.4
36.87
22.2
13.96
1.94
9.21
1.26
1.71
118.55
4.09
16.43
0.4
4.42
18.0
148.17
2.5
18.0
1.81
30.07
1.55
23.29
0.5
1.25
141.43
0.01
1.74
52.84
59.66
3.83
8.1
22.0
19.2
61.08
5.42
7.3
79.0
329.1
12.71
0.57
93.21
3.83
1.9
5.36
13.17
51.77
7.59
5.47
5.75
1.51
1.71
19.25
3.09
0.15
14.86
0.53
3.55
0.8
0.24
5.43
3.3
0.05
13.0
1.03
25.17
37.01
1.75
433.0
17.3
1.8
14.24
6.57
0.86
0.6
335.59
107.03
0.01
0.15
7.1
2.0
0.23
3.8
60.01
7.35
577.58
1.05
28.63
0.94
657.89
8.42
71.05
68.99
0.77
19.91
0.26
9.83
5.78
36.25
4.67
0.57
3.89
6.77
90.11
3.14
213.0
6.4
6.05
37.16
8.63
1.42
2.72
2.0
60.28
6.57
95.44
0.28
1.24
12.55
36.69
1.27
42.7
11.15
4.4
1.62
0.3
20.29
3.49
13.62
80.32
10.8
13.5
19.13
237.85
12.78
0.23
9.63
0.15
2.26
746.61
2.4
10.9
12.07
23.79
39.4
34.62
2.22
2.81
27.16
3.81
40.66
124.2
39.05
118.95
2.59
4.42
8.04
1.89
0.03
77.42
6.14
12.82
7.46
1.0
43.71
34.45
11.7
3.19
114.28
3.53
55.53
0.06
2.78
7.83
70.79
2.5
2.4
3.09
7.91
60.05
41.94
346.79
116.19
7.74
78.5
20.5
4.37
19.76
2.05
4.45
0.27
1.43
34.4
57.6
0.07
0.85
632.91
204.51
0.09
35.12
141.0
22.21
1.53
85.99
0.85
3.85
19.1
9.0
14.83
19.28
36.5
405.29
25.69
0.72
84.29
28.25
0.83
42.49
6.48
14.95
0.52
12.09
31.29
40.0
24.72
23.99
0.53
0.16
4.03
547.47
39.45
2.86
1.11
10.9
3.0
62.61
44.5
48.31
18.1
37.64
19.65
4.75
9.99
3.36
8.2
258.59
44.21
5.45
3.29
0.55
450.59
0.1
18.99
1.0
5.03
2025.19
23.65
29.43
6.73
0.33
0.85
8.09
3.3
81.76
23.53
0.6
12.0
21.53
4.25
2.98
0.04
22.5
12.22
5.01
2.16
0.23
2.23
0.26
21.2
22.58
10.6
289.79
191.91
0.37
0.61
2.87
5.01
2.67
0.48
4.65
5.8
1.05
0.99
26.48
16.24
1.55
12.81
14.67
2.45
1.35
43.2
3.5
2.51
1.25
38.9
184.84
4.75
1.36
21.5
2.7
9.52
6.64
18.3
0.67
77.15
15.91
5.62
91.61
1.66
0.01
2.84
47.73
4.08
0.31
0.99
8.34
0.5
649.22
2.64
5.0
0.45
9.46
3.06
103.9
60.3
26.02
2.17
48.88
0.87
0.06
156.56
20.36
1.45
1.87
1.22
3.99
28.82
36.68
141.17
0.17
3.65
4.02
0.27
22.17
227.82
548.7
0.06
194.99
42.0
