Midpoint Salary
132500.0
160500.0
172500.0
168500.0
190000.0
160000.0
139000.0
200500.0
159000.0
236500.0
132500.0
137000.0
132500.0
132500.0
134500.0
178000.0
118000.0
132500.0
197000.0
145500.0
