TotalRaised
8.69
0.12
3.17
12.69
0.84
0.0
1.99
3.5
22.99
46.22
199.44
0.42
7.01
4.75
0.18
54.0
2.28
6.83
0.18
0.74
2.42
0.16
1.61
0.75
3.5
0.67
2.35
0.33
9.5
0.88
