Employees
21.0
178.0
22.0
38.0
200.0
51.0
89.0
118.0
57.0
29.0
70.0
48.0
141.0
15.0
26.0
221.0
29.0
12.0
6.0
99.0
15.0
179.0
69.0
19.0
11.0
91.0
9.0
55.0
85.0
116.0
