TotalRaised
3.5
0.1
0.93
10.28
4.34
0.55
0.5
5.0
7.0
0.0
1.38
1.41
12.7
2.06
3.0
0.6
0.02
0.63
0.28
0.5
1.62
3.0
1.39
10.54
7.0
9.2
6.5
5.5
7.14
3.53
