,z
4,1.0535118261906318
10,0.32627809809068936
16,0.07829219130202425
22,0.9866446906356793
28,4.028389112497866
34,1.5108187305049678
40,1.5589189032538542
46,0.1818154987680771
52,0.5520973253144531
58,1.0402223430104192
64,0.9893382696734775
70,1.1877864673687413
76,0.7311415061291058
82,0.1454089777347422
88,0.6166697510106816
94,0.11011524414256034
100,0.523188418844943
106,1.9261859571144133
112,0.02160040238004625
118,0.6321207457943054
124,0.9790919406914709
130,0.11427458029250198
136,1.1560651668638866
142,0.13811638893733133
148,2.0289095523621987
154,0.16994921065015928
160,0.15478292504867006
166,0.9072691250002132
172,0.14914147670778674
178,3.313992011976559
184,1.1220453020732364
190,1.5537245573064609
196,1.828921744240734
202,1.752457587401407
208,0.18328764254711039
214,0.7076043655563593
220,6.041859492389208
226,2.05989163349566
232,0.5755842817300221
238,2.8923052682778665
244,1.091423772532752
250,0.07931747617799764
256,0.6027154809594719
262,1.0166685277719778
268,1.8829159635981805
274,1.6512731356054744
280,1.5650734456844275
286,1.3112123516534093
292,0.024504161003769
298,0.07047967229499222
304,1.9581187650383807
310,0.23648360101290744
316,0.6817029678065152
322,0.761050298230649
328,1.3914206238778875
334,0.2984546268043191
340,0.85560079881941
346,0.9239360346475431
352,0.6403285259595664
358,0.6107434767838843
364,0.8911816686737488
370,0.02985581851007168
376,0.7600111784698955
382,0.49549750603097065
388,1.1598985026827189
394,1.720790152792446
400,0.451133945767319
406,1.9947991860374799
412,1.3155099841347244
418,1.1901272027748213
424,0.4519728861656046
430,0.6464877540647331
436,2.2255924659715376
442,1.0747379785758995
448,0.6682254289570062
454,0.489417147136034
460,0.07829219130202425
466,0.508857131849736
472,2.653252816144456
478,0.8635212059539253
484,2.563631911445013
490,0.1818154987680771
496,1.4890317663334076
502,0.5263427408498381
508,0.500092534789083
514,0.18778646736874124
520,1.077369807354927
526,0.4017862844143195
532,0.21666975101068142
538,0.47659763512468667
544,0.476811581155057
550,3.845165216375993
556,0.5086401609520186
562,0.31752950316886586
568,0.8956289767620583
574,0.11427458029250198
580,0.6184912336094414
586,0.13887108994030958
592,2.5289095523621996
598,0.02748213232743334
604,1.2269831150313382
610,0.37465576135330575
616,0.14914147670778674
622,1.7945954350426856
628,0.4724433724084545
634,1.1087262737990722
640,1.2108320785420144
646,1.4140195057950646
652,0.10043671374873127
658,0.5660834924450875
664,1.3823454110867024
670,2.1856368810683287
676,0.12312676477460333
682,2.2549654260735674
688,0.9317646401599127
694,0.5597877972273569
700,0.1369539746126293
706,2.2296177809486064
712,2.4151003373573854
718,1.5318280501551298
724,1.1650734456844276
730,0.7968922448330544
736,0.4690415866573049
742,0.5704796722949922
748,5.583762256204118
754,2.629509647777925
760,0.493380385440142
766,0.7926602945528843
772,1.3124135556566858
778,0.09574424494690038
784,0.6079888048894503
790,0.6929520259856574
796,1.1716632328282617
802,0.7786471619964976
808,0.35745286583417735
814,0.6716345449856119
820,
826,0.7721770924016911
832,0.4677139486655693
838,0.27865086145549345
844,0.27030655677517584
850,2.1623326550312334
856,0.7036845975967044
862,1.1596130838298215
868,0.4210491796099216
874,1.4408910460053035
880,1.6127962329857688
886,0.5801205820378668
892,0.868693057644108
898,0.3915337177088272
904,0.8434156173959515
910,3.015327086332344
916,3.2737320957317095
922,1.2356189881915567
928,2.563631911445013
934,1.0401949670127173
940,1.6740738145454568
946,0.5674109847555476
952,0.6937985701910634
958,0.18778646736874124
964,1.077369807354927
970,0.20357256882863908
976,0.10833487550534071
982,0.6706987267672964
988,1.046376837689886
994,0.7905796687244081
1000,0.02160040238004625
1006,2.240809878019948
1012,0.08683359105238972
1018,0.3600905256698862
1024,0.6184912336094414
1030,0.05073245515200627
1036,4.705212736482933
1042,0.06630001511159699
1048,0.5951899055676219
1054,0.5416944002744734
1060,1.8921261579941635
1066,2.0301667854739818
1072,0.7775566275915455
1078,0.706156416405432
1084,0.6971236940682483
1090,1.2732640881676425
1096,0.2202640061308572
1102,0.2076043655563593
1108,4.144514990968064
1114,2.1856368810683287
1120,0.5755842817300221
1126,3.724826687762298
1132,1.3642797156659399
1138,1.8973372214204653
1144,0.39728451904052803
1150,1.963735663473607
1156,4.015685078587806
1162,2.0122267729318133
1168,1.1179096040603054
1174,1.3112123516534093
1180,0.52450416100377
1186,0.6196802184700052
1192,2.141503846611853
1198,1.6434435298612031
1204,0.11295464622926228
1210,0.7926602945528843
1216,0.087130935816831
1222,0.2872673781194378
1228,7.038361534222304
1234,1.3859040519713148
1240,2.6403285259595664
