Variable,LLM MAE,Stat N5 MAE,Stat N10 MAE,Stat N20 MAE,Stat N30 MAE
Employees,37.358133514556656,29.03171768859366,28.953129514057633,32.278133800484405,30.403581641577745
IsTechCompany,0.24659943137615453,0.12258196448020621,0.10411450745198991,0.07831647736113269,0.06718011372476904
IsUSBased,0.24377257875157352,0.09227241406485216,0.10524548424968523,0.06566360665940559,0.054754515750314675
TotalRaised,16.108152678715435,19.078581363025442,21.76133058522144,22.495920830668314,23.257117265347603
easy_0,11.135501017958628,30.23876162898323,29.861477999027837,34.44544794210543,32.833659861979555
easy_1,10.693899046402075,9.613810791142361,11.273843245155117,10.676143059601738,11.5004513802813
easy_10,61.39894672173993,24.59656982946793,23.09544579483553,24.2421658185357,24.38824955341577
easy_11,0.16188239289150483,0.1152336214354438,0.11429018808836565,0.08451679623788962,0.059024704284339806
easy_12,20.91808250787113,25.394483122620954,28.91477042313818,31.302152661999557,31.62501745320005
easy_13,9.39868539221434,18.89766491430671,19.832745209468484,19.49123044371191,20.191233840957874
easy_14,3.342279594026776,3.8950909727688,4.765881848225351,5.141187133229176,4.958288390188929
easy_15,43.59733584425679,64.26817886479692,68.06312172347123,78.92396001035456,77.7649217515645
easy_16,25.490684840848832,18.964371319164172,18.08432979516446,16.90232560739669,17.11992364342292
easy_2,5.915392022172505,9.765293869250812,8.178219856086777,8.966320454782032,9.15389945706698
easy_3,0.9535546178124324,2.190088278133134,2.346675122235753,2.505253500533666,2.5384214999183605
easy_4,39.423043145204886,54.49929005607525,35.46958919511716,37.22640616847411,37.527662163735535
easy_5,44.379393763346805,27.832331042607198,23.68967702606204,22.062925524175604,28.103869365524307
easy_6,3.4838221175656257,8.30940695473774,6.567159198566863,5.09100329064142,5.236605322279977
easy_7,0.38263573075845425,0.15009598526998355,0.07436424768842807,0.06448437301001039,0.04840158307649196
easy_8,66.9099520280566,91.17028154807126,103.09114306956744,102.42479946724808,96.69119623944957
easy_9,10.28536227649421,14.704785897949659,15.386765944854542,15.832589433749085,15.303325821914637
hard_0,0.19718311718311707,0.12775632775632773,0.11499356499356495,0.10146250146250145,0.06810113685113685
hard_1,0.911586147866198,3.828415063964434,4.135488462531065,4.471133262098006,4.653280909193633
hard_10,0.40656007309273645,0.12585786073223257,0.10262829298005173,0.08570123343992687,0.07486123800822292
hard_11,1.558621312158224,1.84129307994996,1.1543615992364988,1.1530248102462881,1.1756310197238358
