TotalRaised
13.12
0.5
0.5
0.25
3.0
3.5
2.7
0.53
0.13
4.85
2.79
4.9
0.4
0.14
0.5
1.56
2.0
0.08
1.2
0.86
0.22
3.0
0.2
1.1
0.4
71.0
0.12
0.9
0.7
0.72
