TotalRaised
74.09
6.8
25.28
4.4
0.17
2.75
6.39
12.34
0.02
32.46
36.51
1.3
2.5
29.12
0.4
8.71
3.2
1.89
53.28
0.7
18.13
9.99
15.08
57.32
23.27
0.5
60.0
72.61
0.85
0.6
